"","section","nword","nchar","linenumber","chapter","notes_start","word"
"1","f1",3964,22416,1065,1,0,"beginning"
"2","f1",3964,22416,1065,1,0,"coming"
"3","f1",3964,22416,1065,1,0,"day"
"4","f1",3964,22416,1065,1,0,"bring"
"5","f1",3964,22416,1065,1,0,"resurrection"
"6","f1",3964,22416,1065,1,0,"glory"
"7","f1",3964,22416,1065,1,0,"coming"
"8","f1",3964,22416,1065,1,0,"entering"
"9","f1",3964,22416,1065,1,0,"amenta"
"10","f1",3964,22416,1065,1,0,"day"
"11","f1",3964,22416,1065,1,0,"burial"
"12","f1",3964,22416,1065,1,0,"victorious"
"13","f1",3964,22416,1065,1,0,"entereth"
"14","f1",3964,22416,1065,1,0,"coming"
"15","f1",3964,22416,1065,1,0,"victorious"
"16","f1",3964,22416,1065,1,0,"saith"
"17","f1",3964,22416,1066,1,0,"bull"
"18","f1",3964,22416,1066,1,0,"amenta"
"19","f1",3964,22416,1066,1,0,"thoth"
"20","f1",3964,22416,1066,1,0,"everlasting"
"21","f1",3964,22416,1066,1,0,"king"
"22","f1",3964,22416,1068,1,0,"god"
"23","f1",3964,22416,1068,1,0,"bark"
"24","f1",3964,22416,1068,1,0,"fought"
"25","f1",3964,22416,1069,1,0,"gods"
"26","f1",3964,22416,1069,1,0,"powers"
"27","f1",3964,22416,1069,1,0,"effect"
"28","f1",3964,22416,1069,1,0,"triumph"
"29","f1",3964,22416,1070,1,0,"osiris"
"30","f1",3964,22416,1070,1,0,"adversaries"
"31","f1",3964,22416,1070,1,0,"day"
"32","f1",3964,22416,1070,1,0,"weighing"
"33","f1",3964,22416,1071,1,0,"kinsman"
"34","f1",3964,22416,1071,1,0,"osiris"
"35","f1",3964,22416,1072,1,0,"gods"
"36","f1",3964,22416,1072,1,0,"nut"
"37","f1",3964,22416,1072,1,0,"birth"
"38","f1",3964,22416,1072,1,0,"slay"
"39","f1",3964,22416,1073,1,0,"adversaries"
"40","f1",3964,22416,1073,1,0,"osiris"
"41","f1",3964,22416,1073,1,0,"imprison"
"42","f1",3964,22416,1073,1,0,"sebau"
"43","f1",3964,22416,1073,1,0,"behalf"
"44","f1",3964,22416,1074,1,0,"kinsman"
"45","f1",3964,22416,1074,1,0,"horus"
"46","f1",3964,22416,1075,1,0,"fought"
"47","f1",3964,22416,1075,1,0,"prevailed"
